id,title,required_skills,importance_weights,salary_range
101,Software Engineer,"[""ui_design"", ""javascript"", ""python"", ""machine_learning"", ""sql""]","{""ui_design"": 4, ""javascript"": 4, ""python"": 1, ""machine_learning"": 1, ""sql"": 1}","[75615, 123632]"
102,Data Analyst,"[""sql"", ""python"", ""javascript""]","{""sql"": 4, ""python"": 4, ""javascript"": 1}","[78264, 118950]"
103,Backend Developer,"[""cloud_computing"", ""css"", ""sql""]","{""cloud_computing"": 3, ""css"": 4, ""sql"": 3}","[73349, 96699]"
104,Frontend Developer,"[""python"", ""css""]","{""python"": 5, ""css"": 4}","[78210, 90200]"
105,Machine Learning Engineer,"[""cloud_computing"", ""java""]","{""cloud_computing"": 3, ""java"": 1}","[50474, 130189]"
106,Cyber Security Analyst,"[""cloud_computing"", ""ui_design"", ""machine_learning""]","{""cloud_computing"": 1, ""ui_design"": 3, ""machine_learning"": 3}","[50227, 147430]"
107,DevOps Engineer,"[""java"", ""c++"", ""css""]","{""java"": 1, ""c++"": 1, ""css"": 1}","[67999, 101178]"
108,System Administrator,"[""cloud_computing"", ""sql""]","{""cloud_computing"": 5, ""sql"": 5}","[59907, 122642]"
109,Network Engineer,"[""data_analysis"", ""sql""]","{""data_analysis"": 1, ""sql"": 3}","[73325, 135110]"
110,Full Stack Developer,"[""ui_design"", ""javascript"", ""python"", ""c++""]","{""ui_design"": 1, ""javascript"": 5, ""python"": 3, ""c++"": 3}","[72820, 108415]"
111,Data Scientist,"[""python"", ""cloud_computing"", ""c++"", ""machine_learning"", ""java""]","{""python"": 4, ""cloud_computing"": 2, ""c++"": 1, ""machine_learning"": 1, ""java"": 2}","[70579, 103277]"
112,Cloud Engineer,"[""sql"", ""ui_design""]","{""sql"": 1, ""ui_design"": 5}","[64801, 91430]"
113,UI/UX Designer,"[""javascript"", ""machine_learning"", ""java"", ""cloud_computing"", ""data_analysis""]","{""javascript"": 5, ""machine_learning"": 1, ""java"": 1, ""cloud_computing"": 4, ""data_analysis"": 3}","[67256, 98701]"
114,QA Engineer,"[""java"", ""sql"", ""machine_learning""]","{""java"": 4, ""sql"": 1, ""machine_learning"": 4}","[52294, 93018]"
115,Product Manager,"[""data_analysis"", ""c++"", ""ui_design""]","{""data_analysis"": 1, ""c++"": 5, ""ui_design"": 5}","[54441, 147551]"
116,Business Analyst,"[""javascript"", ""java"", ""css"", ""cloud_computing"", ""python""]","{""javascript"": 4, ""java"": 3, ""css"": 5, ""cloud_computing"": 3, ""python"": 1}","[56976, 140391]"
117,Mobile App Developer,"[""data_analysis"", ""ui_design"", ""python"", ""sql"", ""machine_learning""]","{""data_analysis"": 1, ""ui_design"": 5, ""python"": 3, ""sql"": 3, ""machine_learning"": 2}","[76879, 98110]"
118,Database Administrator,"[""javascript"", ""data_analysis"", ""ui_design"", ""css"", ""java""]","{""javascript"": 3, ""data_analysis"": 1, ""ui_design"": 1, ""css"": 1, ""java"": 4}","[59481, 104820]"
119,Embedded Systems Engineer,"[""data_analysis"", ""sql"", ""javascript""]","{""data_analysis"": 3, ""sql"": 4, ""javascript"": 5}","[66027, 92239]"
120,Game Developer,"[""c++"", ""cloud_computing"", ""ui_design""]","{""c++"": 3, ""cloud_computing"": 5, ""ui_design"": 5}","[64557, 138154]"
121,IT Support Specialist,"[""ui_design"", ""cloud_computing"", ""javascript"", ""c++"", ""python""]","{""ui_design"": 5, ""cloud_computing"": 2, ""javascript"": 2, ""c++"": 4, ""python"": 3}","[76607, 132712]"
122,Blockchain Developer,"[""css"", ""python"", ""sql"", ""data_analysis"", ""ui_design""]","{""css"": 2, ""python"": 5, ""sql"": 1, ""data_analysis"": 3, ""ui_design"": 4}","[51203, 127080]"
123,AI Researcher,"[""css"", ""machine_learning""]","{""css"": 1, ""machine_learning"": 5}","[73173, 126020]"
124,Security Engineer,"[""javascript"", ""data_analysis"", ""cloud_computing""]","{""javascript"": 5, ""data_analysis"": 4, ""cloud_computing"": 5}","[58796, 107366]"
